tiempo,tipo,accel_x,accel_y,accel_z,gyros_x,gyros_y,gyros_z,edad,sexo
1.021737,Patada de gluteo,0.409976,-0.859005,-0.365158,0.311820,0.025365,-0.030899,18,Mujer
1.711137,Patada de gluteo,0.472770,-0.770717,-0.362266,-0.304238,-0.061072,-0.096567,18,Mujer
2.243701,Patada de gluteo,0.427917,-0.786879,-0.409508,-0.060197,-0.034194,-0.231568,18,Mujer
2.752533,Patada de gluteo,0.411673,-0.755278,-0.453375,-0.062789,-0.017403,0.196046,18,Mujer
3.265827,Patada de gluteo,0.407067,-0.907492,-0.498929,0.123219,-0.145991,-0.032723,18,Mujer
3.721078,Patada de gluteo,0.414583,-0.824028,-0.550509,0.027619,0.012224,0.191465,18,Mujer
