tiempo,tipo,accel_x,accel_y,accel_z,gyros_x,gyros_y,gyros_z,edad,sexo
1.013298,Aduccion cadera,0.876927,0.350350,-0.047483,0.740036,0.386997,-0.158569,24,Mujer
1.716243,Aduccion cadera,0.876684,0.407892,-0.156428,0.432160,0.278874,-0.045254,24,Mujer
2.254836,Aduccion cadera,0.903596,0.365403,-0.130879,-1.039414,-0.565342,0.143503,24,Mujer
2.755342,Aduccion cadera,0.903354,0.329470,-0.056401,-0.212914,-0.178664,0.033548,24,Mujer
3.270339,Aduccion cadera,0.881048,0.179909,-0.004821,0.387872,0.143873,-0.229124,24,Mujer
3.830544,Aduccion cadera,0.908202,0.484371,-0.126781,0.542727,0.360730,-0.087098,24,Mujer
4.326490,Aduccion cadera,0.812436,0.567892,-0.344189,0.255925,0.170140,-0.049835,24,Mujer
4.828105,Aduccion cadera,0.961541,0.303734,-0.114007,-1.251385,-0.595274,0.254986,24,Mujer
5.376346,Aduccion cadera,1.052458,0.179181,-0.182459,0.218052,0.115468,-0.061136,24,Mujer
5.855394,Aduccion cadera,0.950873,0.318544,-0.211623,0.886644,0.419373,-0.138716,24,Mujer
6.348085,Aduccion cadera,0.877654,0.489713,-0.253080,0.623666,0.487485,-0.157959,24,Mujer
6.827913,Aduccion cadera,0.877412,0.679334,-0.204874,-0.505823,-0.663385,0.288278,24,Mujer
7.323281,Aduccion cadera,0.946024,0.362975,0.027781,-0.383650,-0.109942,0.072032,24,Mujer
7.815064,Aduccion cadera,0.960086,0.503066,-0.346117,0.393065,0.357370,-0.161929,24,Mujer
8.319587,Aduccion cadera,0.962025,0.377785,-0.103401,0.316096,0.232143,-0.107257,24,Mujer
8.821076,Aduccion cadera,0.759341,0.465919,-0.335512,-0.288050,-0.110858,0.077530,24,Mujer
9.334923,Aduccion cadera,0.962268,0.250319,-0.024585,-0.640825,-0.263574,0.203063,24,Mujer
9.800846,Aduccion cadera,0.976572,0.357148,-0.098099,-0.200085,-0.039081,-0.007686,24,Mujer
10.281238,Aduccion cadera,0.928083,0.422945,-0.128709,0.871372,0.408072,-0.093818,24,Mujer
10.757355,Aduccion cadera,0.921294,0.404250,-0.148715,0.652988,0.299338,-0.117031,24,Mujer
11.228489,Aduccion cadera,0.871351,0.408620,-0.177879,0.302962,0.148760,-0.077935,24,Mujer
11.714868,Aduccion cadera,0.911597,0.389197,-0.176433,-1.132266,-0.573588,0.276672,24,Mujer
12.206314,Aduccion cadera,0.661393,0.814569,-0.117140,-0.649988,-0.081231,-0.094123,24,Mujer
12.780161,Aduccion cadera,0.901899,0.318058,-0.120514,0.532953,0.292313,-0.164067,24,Mujer
13.267149,Aduccion cadera,0.927598,0.421731,-0.119309,0.664594,0.282234,-0.110006,24,Mujer
13.753198,Aduccion cadera,0.888564,0.478059,-0.356722,-0.028432,-0.280984,0.066229,24,Mujer
14.252659,Aduccion cadera,0.892201,0.342580,-0.064837,-0.701300,-0.286176,0.144420,24,Mujer
14.781382,Aduccion cadera,0.797889,0.332626,0.038748,0.967889,0.075761,-0.089236,24,Mujer
15.286555,Aduccion cadera,0.908930,0.367102,-0.186315,0.532037,0.157312,-0.087098,24,Mujer
15.800632,Aduccion cadera,0.879109,0.453051,-0.192582,0.450486,0.203738,-0.089236,24,Mujer
16.311360,Aduccion cadera,0.915233,0.311503,-0.154258,-0.649071,-0.423315,0.079668,24,Mujer
16.821127,Aduccion cadera,0.915233,0.463005,-0.163176,-0.205583,-0.045801,0.043627,24,Mujer
