tiempo,tipo,accel_x,accel_y,accel_z,gyros_x,gyros_y,gyros_z,edad,sexo
1.018992,Abduccion cadera,0.889049,0.412505,0.006824,-0.172291,0.039110,0.120901,24,Mujer
1.693865,Abduccion cadera,0.919597,0.384583,0.025588,0.019193,0.000915,-0.018968,24,Mujer
2.193901,Abduccion cadera,0.930023,0.400365,0.056538,0.512772,0.076357,-0.031796,24,Mujer
2.684618,Abduccion cadera,0.970269,0.406678,0.041916,0.474898,0.239152,-0.107543,24,Mujer
3.199947,Abduccion cadera,0.975360,0.382641,0.004874,-0.044643,-0.132254,0.035704,24,Mujer
3.678858,Abduccion cadera,1.001059,0.479758,0.052639,-0.609693,-0.194867,0.025931,24,Mujer
4.255739,Abduccion cadera,0.896080,0.393324,0.042403,-0.136884,-0.159743,0.018906,24,Mujer
4.777270,Abduccion cadera,0.924446,0.370987,0.106252,0.530487,0.186923,-0.033323,24,Mujer
5.301630,Abduccion cadera,0.988694,0.451109,0.007555,0.553394,0.280691,-0.084636,24,Mujer
5.805620,Abduccion cadera,0.898989,0.482672,-0.143894,-0.215364,0.021920,0.012582,24,Mujer
6.307753,Abduccion cadera,0.934871,0.427801,-0.026031,-0.591962,-0.240141,0.019301,24,Mujer
6.803714,Abduccion cadera,0.871593,0.353749,-0.051580,-0.417865,-0.386138,0.024494,24,Mujer
7.315573,Abduccion cadera,0.909172,0.254932,0.003899,0.046698,0.021920,-0.013380,24,Mujer
7.835105,Abduccion cadera,0.946751,0.332626,-0.014944,1.105022,0.676768,-0.178924,24,Mujer
8.355415,Abduccion cadera,0.934144,0.439455,0.006824,-0.306382,-0.357121,-0.014602,24,Mujer
8.869212,Abduccion cadera,0.904323,0.372687,0.013403,-0.379075,-0.284429,0.015025,24,Mujer
9.398274,Abduccion cadera,0.901171,0.394052,0.038260,0.014887,-0.046504,0.005051,24,Mujer
9.873197,Abduccion cadera,0.939720,0.351564,0.007311,0.837722,0.521906,-0.067031,24,Mujer
10.359915,Abduccion cadera,0.895595,0.496025,-0.127986,-0.125612,-0.036119,0.012687,24,Mujer
10.852669,Abduccion cadera,0.926386,0.452808,0.049227,-0.519010,-0.160125,-0.061533,24,Mujer
11.348610,Abduccion cadera,0.874260,0.422702,0.010723,-0.384925,-0.197387,0.052088,24,Mujer
11.839058,Abduccion cadera,0.903111,0.410805,0.064823,-0.091404,-0.174480,0.003830,24,Mujer
12.340017,Abduccion cadera,0.923961,0.368802,-0.021211,0.798627,0.413478,0.012076,24,Mujer
12.927948,Abduccion cadera,0.870381,0.435813,-0.013980,-0.498240,-0.293904,0.036816,24,Mujer
13.426576,Abduccion cadera,0.912809,0.415175,0.036311,-0.488772,-0.265194,-0.000752,24,Mujer
13.931998,Abduccion cadera,0.895110,0.414204,0.040697,-0.067045,-0.094371,0.038900,24,Mujer
14.445346,Abduccion cadera,0.942872,0.422216,-0.055919,0.980894,0.526268,-0.075026,24,Mujer
14.956514,Abduccion cadera,0.897777,0.420031,-0.090386,-0.663555,-0.255028,0.056004,24,Mujer
15.462132,Abduccion cadera,0.891474,0.420517,0.085781,-0.497399,-0.285266,0.015993,24,Mujer
15.983258,Abduccion cadera,0.905778,0.436298,0.041428,-0.147679,-0.092538,-0.004777,24,Mujer
16.502832,Abduccion cadera,0.934144,0.367102,0.137201,0.837952,0.456935,0.052034,24,Mujer
17.021677,Abduccion cadera,0.884685,0.492869,-0.137386,-0.123245,-0.128579,-0.012718,24,Mujer
17.544747,Abduccion cadera,0.917173,0.455236,-0.010123,-0.332160,-0.205854,-0.073804,24,Mujer
18.062494,Abduccion cadera,0.899717,0.405221,0.116243,-0.229535,-0.260221,0.011411,24,Mujer
18.576249,Abduccion cadera,0.937053,0.356420,0.209092,0.552067,0.461211,0.097238,24,Mujer
19.090543,Abduccion cadera,0.845894,0.396480,-0.212346,0.218229,0.228472,-0.170627,24,Mujer
19.613387,Abduccion cadera,0.945297,0.398908,0.076521,-0.545047,-0.145378,0.030043,24,Mujer
20.144317,Abduccion cadera,1.164953,0.474417,0.023151,-0.298257,-0.026259,0.048979,24,Mujer
20.660601,Abduccion cadera,0.983361,0.327284,0.135983,0.396296,0.289558,-0.002333,24,Mujer
21.264369,Abduccion cadera,0.897292,0.486314,-0.149920,0.373389,0.152419,-0.026768,24,Mujer
21.775411,Abduccion cadera,0.924204,0.375843,-0.030129,-0.642785,-0.128579,0.131446,24,Mujer
22.259383,Abduccion cadera,0.919113,0.391624,0.020227,-0.389887,-0.252890,0.010190,24,Mujer
22.738132,Abduccion cadera,0.912566,0.345979,0.120874,0.199292,-0.063522,-0.006915,24,Mujer
23.225616,Abduccion cadera,0.940690,0.397209,-0.084119,0.894762,0.465793,-0.012718,24,Mujer
23.709917,Abduccion cadera,0.892201,0.435327,-0.023862,-0.388665,-0.171951,0.030348,24,Mujer
24.189194,Abduccion cadera,0.921052,0.410319,0.039723,-0.538022,-0.273354,-0.035014,24,Mujer
24.686675,Abduccion cadera,0.913051,0.405221,0.009260,-0.275961,-0.224485,0.008052,24,Mujer
25.170737,Abduccion cadera,0.938023,0.353020,0.187403,0.614986,0.427003,-0.014550,24,Mujer
25.656542,Abduccion cadera,0.911354,0.509136,-0.262239,0.257019,0.236413,-0.013634,24,Mujer
26.143676,Abduccion cadera,0.915718,0.420274,-0.016872,-0.412489,-0.326805,0.029432,24,Mujer
26.627074,Abduccion cadera,0.893656,0.437755,0.022176,-0.378281,-0.198829,-0.000806,24,Mujer
27.119952,Abduccion cadera,0.870623,0.391139,0.202268,0.527022,0.270927,-0.058838,24,Mujer
27.606747,Abduccion cadera,0.989422,0.568620,-0.183905,0.695315,0.447467,-0.077775,24,Mujer
28.105016,Abduccion cadera,0.900929,0.356420,0.002437,-0.804665,-0.450200,0.068833,24,Mujer
28.604721,Abduccion cadera,0.761280,0.371715,-0.004339,-0.297952,-0.140186,-0.039291,24,Mujer
29.091335,Abduccion cadera,0.907233,0.421002,0.138907,0.058106,-0.011403,-0.017309,24,Mujer
29.601636,Abduccion cadera,0.893171,0.384583,-0.020728,0.747772,0.593048,0.061187,24,Mujer
30.100930,Abduccion cadera,0.879351,0.465676,-0.052785,-0.525576,-0.264302,0.129299,24,Mujer
30.695420,Abduccion cadera,0.884685,0.432656,-0.060739,-0.422951,-0.238645,-0.014560,24,Mujer
31.179977,Abduccion cadera,0.829892,0.449409,0.076277,-0.340484,-0.154957,-0.019447,24,Mujer
31.671012,Abduccion cadera,0.940205,0.406678,0.103815,0.717840,0.442164,0.028811,24,Mujer
32.172456,Abduccion cadera,0.863835,0.523704,-0.055919,-0.046963,-0.065465,0.188247,24,Mujer
32.671816,Abduccion cadera,0.926871,0.454993,0.097722,-0.270845,-0.219709,-0.031053,24,Mujer
33.173995,Abduccion cadera,0.908202,0.446496,0.033143,-0.254658,-0.222152,0.016289,24,Mujer
33.677754,Abduccion cadera,0.910142,0.367345,0.066042,0.668054,0.213700,-0.068011,24,Mujer
34.184670,Abduccion cadera,0.817285,0.314174,-0.261516,0.993646,0.433612,-0.076868,24,Mujer
34.696628,Abduccion cadera,1.031850,0.364189,0.012429,-0.384161,-0.210240,0.021481,24,Mujer
35.206573,Abduccion cadera,0.902384,0.386769,0.061412,-0.420813,-0.231620,0.014151,24,Mujer
35.712608,Abduccion cadera,0.898989,0.405221,0.099672,0.324137,0.187433,-0.034413,24,Mujer
36.221512,Abduccion cadera,0.913536,0.005827,-0.133771,1.035185,0.716442,-0.133984,24,Mujer
