tiempo,tipo,accel_x,accel_y,accel_z,gyros_x,gyros_y,gyros_z,edad,sexo
1.010849,Curl femoral,-0.293488,0.964372,0.106008,-0.209859,0.052549,-0.061747,24,Mujer
1.730606,Curl femoral,-0.182658,0.841276,0.036067,0.027767,0.032390,0.745817,24,Mujer
2.247225,Curl femoral,0.664544,0.904645,-0.143412,0.495079,-0.188743,1.440676,24,Mujer
2.746364,Curl femoral,0.903354,0.424887,-0.172094,0.256842,0.135932,1.266579,24,Mujer
3.257837,Curl femoral,0.978997,0.317330,-0.216203,-0.647850,0.019867,-0.899244,24,Mujer
3.847067,Curl femoral,0.457738,0.664038,0.020714,-0.271251,0.274293,-1.362585,24,Mujer
4.347484,Curl femoral,0.576536,0.747316,-0.070139,0.324342,-0.128878,1.406162,24,Mujer
4.873496,Curl femoral,0.996695,0.255175,-0.081468,0.203696,-0.088867,0.977029,24,Mujer
5.409055,Curl femoral,0.993059,0.584645,-0.208490,-0.324702,0.091339,-1.827453,24,Mujer
5.886340,Curl femoral,0.319786,0.909015,-0.003856,0.275168,-0.047022,-0.577318,24,Mujer
6.371461,Curl femoral,0.753279,0.707983,-0.114007,0.179262,0.005817,1.971518,24,Mujer
6.875798,Curl femoral,0.922264,0.272413,-0.188243,0.113899,-0.045190,-0.359850,24,Mujer
7.406893,Curl femoral,0.779464,0.604554,-0.148715,-0.440766,0.206487,-1.973756,24,Mujer
7.914591,Curl femoral,0.457980,0.740517,-0.041457,0.359467,-0.048855,1.199384,24,Mujer
8.422230,Curl femoral,1.044699,0.412505,-0.203187,0.176513,-0.012203,1.150515,24,Mujer
8.925723,Curl femoral,0.995968,0.425615,-0.204151,-0.147856,0.151203,-1.634725,24,Mujer
9.456466,Curl femoral,0.389611,0.784463,-0.052303,-0.055921,-0.084591,0.042405,24,Mujer
9.944462,Curl femoral,0.900202,0.495297,-0.147268,0.443461,-0.025337,1.743665,24,Mujer
10.442564,Curl femoral,0.977057,0.336511,-0.133048,0.039068,0.043691,-1.050433,24,Mujer
10.937557,Curl femoral,0.538957,0.684675,-0.101714,-0.193977,0.077900,-1.664658,24,Mujer
11.447764,Curl femoral,0.580900,0.581488,-0.140520,0.492025,-0.287093,2.107741,24,Mujer
11.944598,Curl femoral,1.036941,0.286981,-0.239100,-0.007357,-0.008843,0.056150,24,Mujer
12.538626,Curl femoral,0.808072,0.501367,-0.101714,-0.169848,0.100807,-1.941685,24,Mujer
13.040048,Curl femoral,0.536290,0.797331,-0.080986,0.194839,-0.098946,1.227178,24,Mujer
13.545079,Curl femoral,0.906505,0.362247,-0.116658,0.207973,-0.053437,1.247337,24,Mujer
14.062459,Curl femoral,0.863592,0.546283,-0.167997,-0.450235,-0.059545,-1.633504,24,Mujer
14.575393,Curl femoral,0.272994,0.800973,-0.018318,0.058616,-0.047022,0.019498,24,Mujer
15.090081,Curl femoral,1.002514,0.480729,-0.170648,0.248290,-0.104749,1.788258,24,Mujer
15.606941,Curl femoral,1.028213,0.357148,-0.157151,-0.086770,-0.083674,-1.226056,24,Mujer
16.128989,Curl femoral,0.536775,0.857301,-0.100027,-0.238570,0.007345,-1.245910,24,Mujer
16.668135,Curl femoral,0.768069,0.710654,-0.045795,0.693305,-0.102611,1.863394,24,Mujer
17.209838,Curl femoral,0.998150,0.444068,-0.266096,-0.423051,-0.016785,-0.837546,24,Mujer
17.761754,Curl femoral,0.453616,0.807042,-0.114971,-0.318593,0.005207,-1.159167,24,Mujer
18.289136,Curl femoral,0.750370,0.747073,-0.130155,0.322815,-0.183551,2.104992,24,Mujer
18.809083,Curl femoral,1.045912,0.409348,-0.250911,-0.276749,-0.039997,-1.122820,24,Mujer
19.369501,Curl femoral,0.466951,0.767467,-0.174987,-0.144497,0.058046,-1.104800,24,Mujer
19.904353,Curl femoral,0.720307,0.652626,-0.017595,0.707966,-0.078177,1.809944,24,Mujer
20.436023,Curl femoral,0.970996,0.404007,-0.147751,-0.064779,-0.051298,-0.866257,24,Mujer
21.058807,Curl femoral,0.334575,0.737361,-0.066283,-0.179927,0.048883,-0.648789,24,Mujer
21.585550,Curl femoral,0.994756,0.538757,-0.228495,0.658180,0.009788,1.864311,24,Mujer
22.088810,Curl femoral,0.994998,0.494326,-0.175951,-0.319510,0.057741,-1.688481,24,Mujer
22.600460,Curl femoral,0.295057,0.716238,-0.019523,-0.057754,0.040331,-0.149101,24,Mujer
23.095880,Curl femoral,0.937538,0.471989,-0.251393,-0.081272,-0.084285,2.010308,24,Mujer
23.597507,Curl femoral,1.039850,0.424159,-0.225121,-0.256590,-0.035111,-1.161916,24,Mujer
24.101074,Curl femoral,0.603448,0.735176,-0.115212,-0.033014,-0.007316,-1.000953,24,Mujer
24.604004,Curl femoral,1.094886,0.503552,-0.228495,0.458733,-0.036943,1.555518,24,Mujer
25.103832,Curl femoral,0.955964,0.481215,-0.151125,-0.091351,-0.140790,-1.080060,24,Mujer
25.594551,Curl femoral,0.455071,0.722793,-0.111355,0.046093,-0.006400,-1.041575,24,Mujer
26.080120,Curl femoral,1.018030,0.547497,-0.233316,0.568078,-0.033889,1.930284,24,Mujer
26.578953,Curl femoral,0.897535,0.499667,-0.185833,-0.354940,-0.109636,-0.898938,24,Mujer
27.065529,Curl femoral,0.524895,0.758727,-0.050857,0.039068,0.216566,-1.428253,24,Mujer
27.561255,Curl femoral,0.861895,0.568377,-0.106053,0.318539,-0.029002,1.965714,24,Mujer
28.050130,Curl femoral,1.008817,0.452080,-0.195233,-0.148773,-0.207985,-0.486299,24,Mujer
