tiempo,tipo,accel_x,accel_y,accel_z,gyros_x,gyros_y,gyros_z,edad,sexo
1.030096,Curl femoral,0.898989,0.547497,0.407461,0.273713,0.949901,-1.840916,18,Mujer
1.760586,Curl femoral,0.079280,0.818454,0.403562,0.030283,-0.226320,0.413177,18,Mujer
2.273403,Curl femoral,0.881776,0.381913,0.334596,-0.594632,-1.006090,1.904604,18,Mujer
2.785485,Curl femoral,0.917900,0.393567,0.310226,0.569066,0.725713,-1.717521,18,Mujer
3.305785,Curl femoral,0.178198,0.823795,0.380898,0.326247,0.375077,-1.022662,18,Mujer
3.803446,Curl femoral,0.168257,0.831565,0.358234,-0.242468,-0.726008,1.575042,18,Mujer
4.374464,Curl femoral,1.004696,0.270471,0.258075,-0.061652,-0.177146,0.344149,18,Mujer
4.901633,Curl femoral,0.601751,0.581974,0.409411,0.410547,0.813678,-1.738596,18,Mujer
5.437709,Curl femoral,0.022547,0.816511,0.440604,0.038783,-0.092787,0.109837,18,Mujer
5.962256,Curl femoral,0.795708,0.564493,0.293411,-0.542455,-1.053373,2.286045,18,Mujer
6.474982,Curl femoral,0.964207,0.289409,0.337764,0.199135,0.490894,-1.322642,18,Mujer
6.981230,Curl femoral,0.421129,0.821124,0.379923,0.155764,0.532433,-1.232539,18,Mujer
7.499542,Curl femoral,0.172621,0.839334,0.375293,-0.240688,-0.419295,0.936949,18,Mujer
8.021963,Curl femoral,0.907475,0.357391,0.327041,-0.361333,-0.713121,1.431139,18,Mujer
8.550220,Curl femoral,0.959601,0.569106,0.354335,0.310313,0.862911,-1.809196,18,Mujer
9.079570,Curl femoral,0.107161,0.970199,0.372369,0.140492,0.275564,-0.617092,18,Mujer
9.616526,Curl femoral,0.716185,0.708712,0.373100,-0.424558,-0.964797,2.109199,18,Mujer
10.117713,Curl femoral,0.991846,0.169226,0.228831,0.207993,0.177826,-0.650079,18,Mujer
10.612648,Curl femoral,0.522713,0.811170,0.516150,0.594976,1.003410,-1.907851,18,Mujer
11.113989,Curl femoral,0.132860,0.852930,0.424520,-0.028717,-0.693879,1.424114,18,Mujer
11.616468,Curl femoral,1.008817,0.316116,0.240772,-0.295666,-0.785509,1.369747,18,Mujer
12.124008,Curl femoral,0.787949,0.530502,0.345562,0.198525,0.876350,-1.769490,18,Mujer
12.726296,Curl femoral,0.029336,0.841762,0.428906,0.118807,0.159805,-0.348312,18,Mujer
13.246566,Curl femoral,0.629874,0.714781,0.378949,-0.116071,-1.167299,2.292459,18,Mujer
13.757492,Curl femoral,0.948933,0.209044,0.262949,0.267858,0.075506,-0.494614,18,Mujer
14.277518,Curl femoral,0.445131,0.734205,0.525654,0.319170,0.766089,-1.526671,18,Mujer
14.798850,Curl femoral,0.014547,0.804372,0.419890,-0.126761,-0.222902,0.305925,18,Mujer
15.324499,Curl femoral,0.814861,0.412990,0.273915,-0.602320,-1.076280,2.242673,18,Mujer
15.851340,Curl femoral,0.772433,0.449166,0.270260,-0.211366,1.131997,-2.180296,18,Mujer
16.384183,Curl femoral,0.085099,0.870897,0.422814,0.117279,0.305802,-0.734073,18,Mujer
16.912638,Curl femoral,0.454101,0.809470,0.443285,0.037562,-0.927535,1.963202,18,Mujer
17.444503,Curl femoral,1.036941,0.215600,0.241747,0.010378,-0.245809,0.190777,18,Mujer
17.976640,Curl femoral,0.653149,0.620335,0.458394,0.196692,0.771587,-1.454283,18,Mujer
18.502799,Curl femoral,0.098191,0.878909,0.416478,0.241285,0.066649,-0.099995,18,Mujer
19.030338,Curl femoral,0.663574,0.631989,0.412335,-0.525351,-1.171270,2.069493,18,Mujer
19.562402,Curl femoral,0.982148,0.247163,0.228344,0.171341,0.319241,-1.015682,18,Mujer
20.103333,Curl femoral,0.401248,0.921155,0.402100,-0.060482,0.714471,-1.588979,18,Mujer
20.639746,Curl femoral,0.205352,0.848803,0.415991,0.062912,-0.762906,1.615926,18,Mujer
21.274282,Curl femoral,1.002756,0.269500,0.203974,0.065050,-0.107448,-0.181851,18,Mujer
21.804320,Curl femoral,0.442464,0.902946,0.424276,0.016181,0.592298,-1.771017,18,Mujer
22.314823,Curl femoral,0.080250,0.754599,0.470579,0.307869,-0.489239,0.901213,18,Mujer
22.819103,Curl femoral,0.917900,0.436298,0.350923,-0.479536,-0.701515,1.618369,18,Mujer
23.322638,Curl femoral,0.966147,0.447952,0.313882,0.576650,0.667434,-1.671446,18,Mujer
23.828872,Curl femoral,0.134557,0.833993,0.360428,0.066883,0.306719,-0.852276,18,Mujer
24.338600,Curl femoral,0.754249,0.767467,0.353360,-1.045808,-0.834989,2.029176,18,Mujer
24.856876,Curl femoral,0.942872,0.247163,0.288781,0.291987,0.292058,-0.866936,18,Mujer
25.373822,Curl femoral,0.265963,0.794660,0.373831,0.000910,0.917584,-1.779263,18,Mujer
25.897613,Curl femoral,0.561990,0.946891,0.374318,-0.396764,-0.767183,2.363625,18,Mujer
26.410430,Curl femoral,0.979724,0.204431,0.260512,0.171952,0.144228,-0.447883,18,Mujer
26.929736,Curl femoral,0.348395,0.807528,0.370663,0.016792,0.892844,-2.256349,18,Mujer
27.449626,Curl femoral,0.383792,0.724979,0.412579,-0.580329,-1.367358,2.722813,18,Mujer
27.961404,Curl femoral,0.908687,0.189378,0.192277,0.033285,0.070619,-0.363889,18,Mujer
28.481405,Curl femoral,0.511318,0.848803,0.440848,0.434929,0.888873,-2.116461,18,Mujer
29.002195,Curl femoral,0.487316,0.938636,0.328747,-0.338426,-0.970295,2.327889,18,Mujer
29.525569,Curl femoral,0.942630,0.172383,0.245890,0.714706,0.047712,0.131828,18,Mujer
30.154973,Curl femoral,0.277358,0.884979,0.262949,0.215934,0.607264,-1.600585,18,Mujer
30.686027,Curl femoral,0.690001,0.679334,0.365302,-0.145698,-1.132785,2.532529,18,Mujer
31.197102,Curl femoral,0.930023,0.264644,0.235655,0.163094,0.104217,-1.005908,18,Mujer
31.719439,Curl femoral,0.252386,0.940093,0.297310,0.049473,0.680263,-1.704127,18,Mujer
32.254749,Curl femoral,0.761765,0.648499,0.471310,-0.105992,-0.762296,2.586591,18,Mujer
32.782173,Curl femoral,0.966874,0.297178,0.254176,0.343300,0.482342,-1.319282,18,Mujer
33.312077,Curl femoral,0.171652,0.939122,0.373831,0.448368,0.548010,-1.404803,18,Mujer
33.840911,Curl femoral,0.391550,0.740032,0.404293,-0.544593,-1.039323,2.220988,18,Mujer
34.384118,Curl femoral,0.925416,0.302277,0.266117,0.345132,0.275259,-0.560893,18,Mujer
34.928293,Curl femoral,0.285601,0.810684,0.455226,0.261749,0.801519,-1.849818,18,Mujer
35.471075,Curl femoral,0.247780,0.965100,0.351167,0.205244,-0.873168,1.860577,18,Mujer
36.010729,Curl femoral,0.956692,0.278969,0.286100,-0.191208,-0.311782,0.597308,18,Mujer
36.547329,Curl femoral,0.516167,0.730563,0.382117,-0.021387,0.831757,-2.174799,18,Mujer
37.094038,Curl femoral,0.363669,0.843219,0.370176,-0.093775,-0.907682,2.002603,18,Mujer
37.633563,Curl femoral,0.959116,0.249105,0.265873,0.007018,-0.115695,-0.109769,18,Mujer
38.189186,Curl femoral,0.380883,0.667194,0.427444,-0.061399,0.888262,-1.869672,18,Mujer
38.830994,Curl femoral,0.764674,0.567163,0.398688,-0.601098,-0.979764,2.270162,18,Mujer
39.392704,Curl femoral,0.972935,0.393567,0.282688,0.562600,0.690953,-1.871810,18,Mujer
39.949063,Curl femoral,0.022305,0.707255,0.314613,0.071159,-0.163342,0.139464,18,Mujer
40.541413,Curl femoral,0.886140,0.286252,0.317537,-0.327430,-0.779705,1.530404,18,Mujer
41.090704,Curl femoral,0.874502,0.528802,0.320218,0.292292,0.890706,-1.811334,18,Mujer
41.640962,Curl femoral,0.096493,0.837634,0.340445,0.319170,-0.206103,0.336774,18,Mujer
42.191252,Curl femoral,0.929295,0.248620,0.259781,-0.751371,-1.106518,1.534680,18,Mujer
42.705544,Curl femoral,1.006393,0.538514,0.413310,0.945002,1.012879,-2.414258,18,Mujer
43.216065,Curl femoral,-0.143658,0.772323,0.352142,0.100786,-0.357597,0.623269,18,Mujer
43.719043,Curl femoral,0.998150,0.420274,0.333134,-0.559254,-1.018248,2.064911,18,Mujer
44.231103,Curl femoral,0.725156,0.508165,0.356285,0.476468,0.908115,-2.216032,18,Mujer
44.735057,Curl femoral,-0.015551,0.807771,0.353117,-0.274591,0.256322,-0.412758,18,Mujer
45.244142,Curl femoral,0.707215,0.728863,0.387965,-0.813985,-0.944639,2.283296,18,Mujer
45.754522,Curl femoral,0.934629,0.344280,0.365302,0.917513,0.601156,-1.196193,18,Mujer
46.258065,Curl femoral,0.280510,0.904160,0.260999,0.186307,0.536404,-1.285990,18,Mujer
46.762625,Curl femoral,0.449980,0.778636,0.337764,-0.900422,-0.906460,1.984583,18,Mujer
47.270154,Curl femoral,1.042033,0.335539,0.283663,-0.027801,-0.203354,0.188333,18,Mujer
47.858982,Curl femoral,0.392762,0.920427,0.415747,0.236704,0.898342,-2.244743,18,Mujer
48.384848,Curl femoral,0.383792,0.801215,0.517368,0.080017,-1.250682,2.426849,18,Mujer
48.902446,Curl femoral,1.107008,0.281397,0.255151,0.094372,-0.021927,-0.278978,18,Mujer
49.423031,Curl femoral,0.334090,0.775722,0.408192,0.281297,0.760591,-2.075228,18,Mujer
49.943008,Curl femoral,0.284389,0.819182,0.412579,0.016181,-0.916845,2.362708,18,Mujer
50.457997,Curl femoral,0.993059,0.272170,0.308764,0.781901,-0.016735,0.305620,18,Mujer
50.976017,Curl femoral,0.537260,0.738818,0.433537,0.249837,1.018071,-2.308273,18,Mujer
51.497364,Curl femoral,0.192987,0.721580,0.231025,0.042143,-0.738777,1.826063,18,Mujer
52.018305,Curl femoral,0.907717,0.286981,0.296335,0.102313,-0.680134,0.948250,18,Mujer
52.536772,Curl femoral,0.699214,0.500395,0.248327,0.474025,1.199498,-2.222446,18,Mujer
53.055056,Curl femoral,-0.009133,0.799516,0.266848,-0.232746,-0.239395,0.508427,18,Mujer
53.574570,Curl femoral,0.844439,0.462520,0.348486,-0.587354,-1.020692,2.098814,18,Mujer
