tiempo,tipo,accel_x,accel_y,accel_z,gyros_x,gyros_y,gyros_z,edad,sexo
1.015432,Curl femoral,0.053823,0.997149,0.056781,0.007781,0.007822,-0.004253,23,Mujer
1.730763,Curl femoral,0.008001,0.992536,0.057025,0.014812,0.017370,-0.015523,23,Mujer
2.254721,Curl femoral,0.048732,0.998606,0.054101,-0.010362,0.008970,-0.003250,23,Mujer
2.760501,Curl femoral,0.043640,0.996421,0.058244,-0.016777,0.012249,-0.000871,23,Mujer
3.282316,Curl femoral,0.043398,0.995450,0.054344,0.008985,0.002953,0.023440,23,Mujer
3.850888,Curl femoral,0.324393,0.850502,0.038260,0.173002,-0.069434,1.010903,23,Mujer
4.353851,Curl femoral,1.035729,0.470046,0.005849,0.149484,-0.221540,1.957439,23,Mujer
4.884865,Curl femoral,1.086643,0.219242,-0.019523,-0.063708,0.032275,-1.788997,23,Mujer
5.421685,Curl femoral,0.687819,0.734690,-0.038324,0.040750,0.048768,-0.694632,23,Mujer
5.899572,Curl femoral,0.424038,0.898818,0.042891,-0.043549,0.039911,-0.461282,23,Mujer
6.390845,Curl femoral,0.308149,0.831565,0.024857,-0.005370,-0.038586,0.379880,23,Mujer
6.885649,Curl femoral,0.713033,0.782278,0.009748,0.020286,-0.082873,0.845664,23,Mujer
7.381930,Curl femoral,0.996453,0.319758,-0.009159,0.136350,-0.055079,1.319696,23,Mujer
7.875125,Curl femoral,1.051245,0.301548,-0.033744,-0.069206,0.072592,-1.390408,23,Mujer
8.380612,Curl femoral,0.560292,0.719152,0.017546,-0.078674,0.108022,-1.095665,23,Mujer
8.884665,Curl femoral,0.362699,0.935237,0.010723,0.082594,0.001121,-0.330862,23,Mujer
9.400988,Curl femoral,0.242931,0.875267,0.002437,0.002528,0.001402,0.155478,23,Mujer
9.860861,Curl femoral,0.563202,0.826223,0.000487,0.059338,0.004151,0.883629,23,Mujer
10.333452,Curl femoral,0.966147,0.476359,-0.052303,0.023297,0.023088,1.244345,23,Mujer
10.807864,Curl femoral,1.024334,0.339424,-0.072068,-0.009384,0.052715,-0.347875,23,Mujer
11.283760,Curl femoral,0.862380,0.631261,-0.008195,-0.066806,0.060656,-1.396120,23,Mujer
11.762746,Curl femoral,0.537260,0.899547,0.033143,0.038874,-0.098474,-0.698512,23,Mujer
12.252313,Curl femoral,0.149589,0.918970,0.029000,0.012996,-0.007030,-0.097885,23,Mujer
12.832740,Curl femoral,0.123890,0.930867,0.035823,-0.036735,0.015338,-0.023588,23,Mujer
13.329753,Curl femoral,0.594720,0.786405,-0.008677,0.094907,-0.100726,1.553972,23,Mujer
13.828282,Curl femoral,1.025304,0.303005,-0.033503,0.106819,-0.099199,1.696914,23,Mujer
14.332301,Curl femoral,1.107008,0.237694,-0.059052,-0.156770,0.162862,-1.711408,23,Mujer
14.843470,Curl femoral,0.731217,0.764554,0.047033,-0.086520,0.042827,-1.094129,23,Mujer
15.347453,Curl femoral,0.383065,0.934266,0.056294,-0.022379,-0.001155,-0.502506,23,Mujer
15.865265,Curl femoral,0.613873,0.825252,0.009260,-0.011078,-0.008791,1.020075,23,Mujer
16.388142,Curl femoral,1.027243,0.340881,-0.031816,0.121785,-0.258329,2.093366,23,Mujer
16.905167,Curl femoral,1.096098,0.170198,-0.027477,-0.024823,0.133235,-1.950562,23,Mujer
